Rank,Nome,Plataforma,Ano,Genero,Editora,Vendas_America_Norte,Vendas_Uniao_Europeia,Vendas_Japao,Outras_Vendas,Vendas_Globais,Editoras_preenchidas
1,Wii Sports,Wii,2006,Esportes,Nintendo,41.49,29.02,3.77,8.46,82.74000000000001,Nintendo
2,Super Mario Bros.,NES,1985,Plataforma,Nintendo,29.08,3.58,6.81,0.77,40.24,Nintendo
3,Mario Kart Wii,Wii,2008,Corrida,Nintendo,0.0,12.88,3.79,0.0,16.67,Nintendo
4,Wii Sports Resort,Wii,2009,Esportes,Nintendo,15.75,11.01,0.0,2.96,29.72,Nintendo
5,Pokemon Red/Pokemon Blue,GB,1996,RPG,Nintendo,11.27,8.89,10.22,1.0,31.380000000000003,Nintendo
6,Tetris,GB,1989,Quebra-cabeça,Nintendo,23.2,2.26,4.22,0.58,30.259999999999998,Nintendo
7,New Super Mario Bros.,DS,2006,Plataforma,Nintendo,11.38,9.23,6.5,2.9,30.009999999999998,Nintendo
8,Wii Play,Wii,2006,Diversos,Nintendo,14.03,9.2,2.93,2.85,29.009999999999998,Nintendo
9,New Super Mario Bros. Wii,Wii,2009,Plataforma,Nintendo,14.59,7.06,0.0,2.26,23.909999999999997,Nintendo
10,Duck Hunt,NES,1984,Tiro,Nintendo,26.93,0.0,0.28,0.47,27.68,Nintendo
11,Nintendogs,DS,2005,Simulação,Nintendo,9.07,11.0,1.93,2.75,24.75,Nintendo
12,Mario Kart DS,DS,2005,Corrida,Nintendo,9.81,7.57,4.13,1.92,23.43,Nintendo
13,Pokemon Gold/Pokemon Silver,GB,1999,RPG,Nintendo,0.0,6.18,7.2,0.71,14.09,Nintendo
14,Wii Fit,Wii,2007,Esportes,Nintendo,8.94,8.03,3.6,2.15,22.72,Nintendo
15,Wii Fit Plus,Wii,2009,Esportes,Nintendo,9.09,8.59,2.53,1.79,22.0,Nintendo
16,Kinect Adventures!,X360,2010,Diversos,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Microsoft Game Studios
17,Grand Theft Auto V,PS3,2013,Ação,Take-Two Interactive,7.01,9.27,0.97,4.14,21.39,Take-Two Interactive
19,Super Mario World,SNES,1990,Plataforma,Nintendo,12.78,0.0,3.54,0.55,16.87,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Diversos,Nintendo,4.75,9.26,0.0,2.05,16.06,Nintendo
21,Pokemon Diamond/Pokemon Pearl,DS,2006,RPG,Nintendo,6.42,4.52,6.04,1.37,18.35,Nintendo
22,Super Mario Land,GB,1989,Plataforma,Nintendo,0.0,2.71,4.18,0.42,7.31,Nintendo
23,Super Mario Bros. 3,NES,1988,Plataforma,Nintendo,9.54,3.44,3.84,0.46,17.28,Nintendo
24,Grand Theft Auto V,X360,2013,Ação,Take-Two Interactive,9.63,5.31,0.06,1.38,16.380000000000003,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,RPG,Nintendo,6.06,3.9,5.38,0.5,15.84,Nintendo
27,Pokemon Black/Pokemon White,DS,2010,RPG,Nintendo,5.57,0.0,5.65,0.82,12.040000000000001,Nintendo
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Quebra-cabeça,Nintendo,3.44,5.36,5.32,0.0,14.120000000000001,Nintendo
30,Call of Duty: Modern Warfare 3,X360,2011,Tiro,Activision,9.03,4.28,0.13,1.32,14.76,Activision
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,RPG,Nintendo,5.89,5.04,3.12,0.59,14.64,Nintendo
32,Call of Duty: Black Ops,X360,2010,Tiro,Activision,9.67,3.73,0.11,1.13,14.64,Activision
33,Pokemon X/Pokemon Y,3DS,2013,RPG,Nintendo,5.17,4.05,0.0,0.79,10.009999999999998,Nintendo
34,Call of Duty: Black Ops 3,PS4,2015,Tiro,Activision,0.0,5.81,0.35,2.31,8.469999999999999,Activision
35,Call of Duty: Black Ops II,PS3,2012,Tiro,Activision,4.99,5.88,0.65,2.52,14.040000000000001,Activision
36,Call of Duty: Black Ops II,X360,2012,Tiro,Activision,8.25,4.3,0.07,1.12,13.740000000000002,Activision
37,Call of Duty: Modern Warfare 2,X360,2009,Tiro,Activision,8.52,3.63,0.08,1.29,13.52,Activision
38,Call of Duty: Modern Warfare 3,PS3,2011,Tiro,Activision,5.54,5.82,0.49,1.62,13.469999999999999,Activision
40,Super Smash Bros. Brawl,Wii,2008,Luta,Nintendo,6.75,2.61,2.66,1.02,13.04,Nintendo
41,Call of Duty: Black Ops,PS3,2010,Tiro,Activision,5.98,4.44,0.48,1.83,12.730000000000002,Activision
42,Animal Crossing: Wild World,DS,2005,Simulação,Nintendo,0.0,3.52,5.33,0.88,9.73,Nintendo
43,Mario Kart 7,3DS,2011,Corrida,Nintendo,4.74,3.91,2.67,0.89,12.21,Nintendo
44,Halo 3,X360,2007,Tiro,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Microsoft Game Studios
45,Grand Theft Auto V,PS4,2014,Ação,Take-Two Interactive,3.8,5.81,0.36,2.02,11.989999999999998,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Ação,Nintendo,0.0,2.77,3.96,0.77,7.5,Nintendo
47,Super Mario 64,N64,1996,Plataforma,Nintendo,6.91,2.85,1.91,0.23,11.9,Nintendo
49,Super Mario Galaxy,Wii,2007,Plataforma,Nintendo,6.16,3.4,1.2,0.76,11.52,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,RPG,Nintendo,4.23,3.37,3.08,0.65,11.33,Nintendo
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Aventura,Nintendo,6.16,2.04,2.69,0.29,11.179999999999998,Nintendo
52,Grand Theft Auto IV,X360,2008,Ação,Take-Two Interactive,6.76,3.1,0.14,1.03,11.03,Take-Two Interactive
53,Gran Turismo,PS,1997,Corrida,Sony Computer Entertainment,0.0,3.87,2.54,0.52,6.93,Sony Computer Entertainment
54,Super Mario 3D Land,3DS,2011,Plataforma,Nintendo,4.89,2.99,2.13,0.0,10.01,Nintendo
55,Gran Turismo 5,PS3,2010,Corrida,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,PS3,2009,Tiro,Activision,4.99,3.69,0.38,1.63,10.690000000000001,Activision
57,Grand Theft Auto IV,PS3,2008,Ação,Take-Two Interactive,4.76,3.76,0.44,1.62,10.579999999999998,Take-Two Interactive
58,Super Mario All-Stars,SNES,1993,Plataforma,Nintendo,5.99,2.15,2.12,0.29,10.55,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,RPG,Nintendo,4.34,2.65,3.15,0.35,10.49,Nintendo
60,Super Mario 64,DS,2004,Plataforma,Nintendo,5.08,3.11,0.0,0.98,9.17,Nintendo
61,Just Dance 3,Wii,2011,Diversos,Ubisoft,6.05,3.15,0.0,1.07,10.27,Ubisoft
62,Call of Duty: Ghosts,X360,2013,Tiro,Activision,0.0,2.63,0.04,0.82,3.4899999999999998,Activision
63,Halo: Reach,X360,2010,Tiro,Microsoft Game Studios,7.03,0.0,0.08,0.78,7.890000000000001,Microsoft Game Studios
64,Mario Kart 64,N64,1996,Corrida,Nintendo,5.55,1.94,2.23,0.15,9.870000000000001,Nintendo
65,New Super Mario Bros. 2,3DS,2012,Plataforma,Nintendo,3.66,3.07,2.47,0.63,9.830000000000002,Nintendo
66,Halo 4,X360,2012,Tiro,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,Microsoft Game Studios
67,Final Fantasy VII,PS,1997,RPG,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.719999999999999,Sony Computer Entertainment
68,Call of Duty: Ghosts,PS3,2013,Tiro,Activision,4.09,3.73,0.38,1.38,9.580000000000002,Activision
69,Just Dance 2,Wii,2010,Diversos,Ubisoft,5.84,2.89,0.0,0.78,9.51,Ubisoft
70,Gran Turismo 2,PS,1999,Corrida,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,X360,2007,Tiro,Activision,5.91,2.38,0.13,0.9,9.32,Activision
72,Donkey Kong Country,SNES,1994,Plataforma,Nintendo,4.36,1.71,3.0,0.23,9.3,Nintendo
